,Date,Price,Open,High,Low,Vol.,Change %,Currency
777,09/23/2020,484.42,485.29,486.36,484.64,0.02K,0.03%,USD
778,09/22/2020,484.29,485.26,485.64,485.13,0.01K,0.01%,USD
779,09/21/2020,484.26,485.25,485.63,485.13,0.01K,0.00%,USD
780,09/18/2020,484.25,484.4,485.63,484.4,0.01K,0.18%,USD
781,09/17/2020,483.4,484.0,487.1,483.7,0.02K,-0.11%,USD
782,09/16/2020,483.91,485.31,485.31,484.45,0.01K,0.19%,USD
783,09/15/2020,483.0,486.37,487.79,484.65,0.01K,-0.49%,USD
784,09/14/2020,485.37,487.67,488.33,485.68,0.03K,-0.27%,USD
785,09/11/2020,486.67,488.3,488.3,487.33,0.01K,-0.13%,USD
786,09/10/2020,487.3,488.81,490.4,487.85,0.03K,-0.10%,USD
787,09/09/2020,487.81,488.55,490.11,488.17,0.03K,0.05%,USD
788,09/08/2020,487.55,488.02,488.79,488.01,0.02K,0.11%,USD
789,09/07/2020,487.02,488.0,488.02,488.0,0.01K,0.00%,USD
790,09/04/2020,487.0,487.48,488.5,487.45,0.01K,0.11%,USD
791,09/03/2020,486.48,487.29,487.74,485.64,0.02K,0.04%,USD
792,09/02/2020,486.29,486.86,487.89,485.88,0.02K,0.09%,USD
793,09/01/2020,485.86,487.2,488.3,486.48,0.02K,-0.07%,USD
794,08/31/2020,486.2,487.24,488.07,486.25,0.14K,-0.01%,USD
795,08/28/2020,486.24,487.03,487.92,486.15,0.02K,0.04%,USD
796,08/27/2020,486.03,487.15,487.48,485.82,0.02K,-0.02%,USD
797,08/26/2020,486.15,485.71,487.38,484.95,0.02K,0.30%,USD
798,08/25/2020,484.71,485.25,486.76,484.8,0.12K,0.09%,USD
799,08/24/2020,484.25,485.05,486.58,484.65,0.02K,0.04%,USD
800,08/21/2020,484.05,484.7,485.05,484.55,0.01K,0.07%,USD
801,08/20/2020,483.7,484.28,485.91,483.94,0.03K,0.09%,USD
802,08/19/2020,483.28,484.21,485.6,483.95,0.03K,0.01%,USD
803,08/18/2020,483.21,484.63,485.82,483.76,0.02K,-0.09%,USD
804,08/17/2020,483.63,484.83,485.86,483.82,0.04K,-0.04%,USD
805,08/14/2020,483.83,485.15,486.27,484.46,0.03K,-0.07%,USD
806,08/13/2020,484.15,485.0,486.9,484.0,0.02K,0.03%,USD
807,08/12/2020,484.0,485.3,486.2,484.15,0.02K,-0.06%,USD
808,08/11/2020,484.3,485.23,486.21,484.3,0.03K,0.01%,USD
809,08/10/2020,484.23,485.0,486.17,484.3,0.04K,0.05%,USD
810,08/07/2020,484.0,485.15,486.38,484.5,0.04K,-0.03%,USD
811,08/06/2020,484.15,485.52,486.81,484.58,0.03K,-0.08%,USD
812,08/05/2020,484.52,485.3,486.81,484.65,0.02K,0.05%,USD
813,08/04/2020,484.3,485.8,486.45,484.35,0.02K,-0.10%,USD
814,08/03/2020,484.8,485.33,486.42,484.2,0.03K,0.10%,USD
815,07/31/2020,484.33,485.16,486.71,484.08,0.02K,0.04%,USD
816,07/30/2020,484.16,484.4,485.58,484.38,0.01K,0.16%,USD
817,07/29/2020,483.4,484.64,485.67,483.85,0.03K,-0.05%,USD
818,07/28/2020,483.64,484.95,487.0,484.32,0.03K,-0.06%,USD
819,07/27/2020,483.95,485.28,487.35,484.48,0.03K,-0.07%,USD
820,07/24/2020,484.28,485.19,486.3,484.5,0.03K,0.02%,USD
821,07/23/2020,484.19,484.15,486.14,483.83,0.03K,0.22%,USD
822,07/22/2020,483.15,482.81,486.08,482.8,0.03K,0.66%,USD
823,07/21/2020,480.0,482.6,484.4,481.8,0.15K,-0.33%,USD
824,07/20/2020,481.6,482.62,484.4,482.3,0.04K,0.00%,USD
825,07/17/2020,481.62,483.64,484.52,482.31,0.04K,-0.21%,USD
826,07/16/2020,482.64,484.5,485.35,482.82,0.04K,-0.18%,USD
827,07/15/2020,483.5,485.6,487.6,484.25,0.15K,-0.23%,USD
828,07/14/2020,484.6,486.7,487.85,485.3,0.04K,-0.23%,USD
829,07/13/2020,485.7,486.73,487.67,485.65,0.03K,-0.01%,USD
830,07/10/2020,485.73,486.58,487.86,485.27,0.11K,0.03%,USD
831,07/09/2020,485.58,485.1,487.3,485.1,0.02K,0.31%,USD
832,07/08/2020,484.1,485.1,487.25,484.42,0.14K,0.00%,USD
833,07/07/2020,484.1,484.33,485.56,484.3,0.02K,0.16%,USD
834,07/06/2020,483.33,483.84,486.2,483.13,0.17K,0.10%,USD
835,07/03/2020,482.84,483.36,484.65,482.83,0.05K,0.10%,USD
836,07/02/2020,482.36,482.5,483.63,481.52,0.03K,0.49%,USD
837,07/01/2020,480.0,482.35,482.76,481.65,0.02K,-0.28%,USD
838,06/30/2020,481.35,482.44,483.47,481.17,0.03K,-0.02%,USD
839,06/29/2020,481.44,481.92,483.47,480.95,0.03K,0.11%,USD
840,06/26/2020,480.92,481.3,482.62,480.66,0.03K,0.13%,USD
841,06/25/2020,480.3,480.05,482.4,480.0,0.02K,0.26%,USD
842,06/24/2020,479.05,479.43,481.54,478.7,0.03K,0.13%,USD
843,06/23/2020,478.43,478.98,481.9,478.95,0.03K,0.09%,USD
844,06/22/2020,477.98,479.67,480.98,478.49,0.04K,0.00%,USD
845,06/19/2020,478.0,479.9,481.2,479.33,0.03K,-0.19%,USD
846,06/18/2020,478.9,480.3,482.1,479.45,0.03K,-0.08%,USD
847,06/17/2020,479.3,481.25,482.58,480.15,0.03K,-0.20%,USD
848,06/16/2020,480.25,481.4,483.0,479.0,0.17K,-0.03%,USD
849,06/15/2020,480.4,481.77,483.18,480.7,0.03K,-0.08%,USD
850,06/12/2020,480.77,481.6,483.1,479.0,0.19K,0.04%,USD
851,06/11/2020,480.6,481.02,483.2,481.0,0.06K,0.12%,USD
852,06/10/2020,480.02,481.23,483.4,481.01,0.04K,-0.04%,USD
853,06/09/2020,480.23,481.4,482.2,480.6,0.02K,-0.04%,USD
854,06/08/2020,480.4,481.72,482.91,481.05,0.04K,-0.07%,USD
855,06/05/2020,480.72,482.1,484.2,481.36,0.03K,-0.06%,USD
856,06/04/2020,481.0,482.38,483.39,481.5,0.03K,-0.08%,USD
